Id;Kolejka;season;home;away;date;hour;gh;ga;IsCancelled;IsWalkover;note
0;1;1927;1. FC Katowice;Ruch Chorzów;1927-04-03;16:00;7;0;0;0;
1;1;1927;Warta Poznań;Czarni Lwów;1927-04-03;16:00;0;3;0;0;
2;1;1927;TKS Toruń;Polonia Warszawa;1927-04-03;15:00;4;3;0;0;
3;1;1927;Legia Warszawa;Warszawianka Warszawa;1927-04-03;15:30;1;4;0;0;
4;1;1927;Pogoń Lwów;Hasmonea Lwów;1927-04-03;15:30;7;1;1;0;
5;1;1927;Klub Turystów Łódź;ŁKS Łódź;1927-04-03;15:00;0;2;0;0;
6;1;1927;Jutrzenka Kraków;Wisła Kraków;1927-04-03;15:45;0;4;0;0;
7;2;1927;ŁKS Łódź;Warta Poznań;1927-04-10;15:30;2;1;0;0;
8;2;1927;TKS Toruń;Warszawianka Warszawa;1927-04-10;15:00;4;2;0;0;
9;2;1927;Czarni Lwów;Pogoń Lwów;1927-04-10;15:30;3;1;0;0;
10;2;1927;Wisła Kraków;Ruch Chorzów;1927-04-10;16:00;2;0;0;0;
11;2;1927;1. FC Katowice;Klub Turystów Łódź;1927-04-10;16:00;4;1;0;0;
12;2;1927;Legia Warszawa;Polonia Warszawa;1927-04-10;16:00;2;2;0;0;
13;3;1927;Legia Warszawa;Wisła Kraków;1927-04-18;16:00;1;4;0;0;
14;3;1927;Jutrzenka Kraków;Czarni Lwów;1927-04-17;16:00;1;6;0;0;
15;3;1927;ŁKS Łódź;TKS Toruń;1927-04-18;15:30;4;1;0;0;
16;3;1927;Polonia Warszawa;Warszawianka Warszawa;1927-04-17;16:30;4;2;0;0;
17;3;1927;Klub Turystów Łódź;Wisła Kraków;1927-04-17;15:00;5;1;0;0;
18;4;1927;Wisła Kraków;Hasmonea Lwów;1927-04-24;16:00;3;1;0;0;
19;4;1927;Klub Turystów Łódź;Pogoń Lwów;1927-04-24;15:30;1;1;0;0;
20;4;1927;Czarni Lwów;Polonia Warszawa;1927-04-24;16:00;1;1;0;0;
21;4;1927;Warszawianka Warszawa;Warta Poznań;1927-04-24;16:30;1;5;0;0;
22;4;1927;TKS Toruń;Legia Warszawa;1927-04-24;16:00;2;2;0;0;
23;4;1927;Ruch Chorzów;ŁKS Łódź;1927-04-24;16:30;1;3;0;0;
24;5;1927;Warta Poznań;1. FC Katowice;1927-05-01;16:00;1;0;0;0;
25;5;1927;Ruch Chorzów;Warszawianka Warszawa;1927-05-01;16:00;0;0;0;0;
26;5;1927;Jutrzenka Kraków;TKS Toruń;1927-05-01;16:30;2;4;0;0;
27;5;1927;Polonia Warszawa;Klub Turystów Łódź;1927-05-01;16:30;2;1;1;0;
28;6;1927;Polonia Warszawa;Wisła Kraków;1927-05-03;16:30;2;1;0;0;
29;7;1927;1. FC Katowice;Pogoń Lwów;1927-05-08;16:00;1;0;0;0;
30;7;1927;Warta Poznań;Jutrzenka Kraków;1927-05-08;16:00;4;0;0;0;
31;7;1927;Wisła Kraków;Czarni Lwów;1927-05-08;16:30;4;0;0;0;
32;7;1927;Klub Turystów Łódź;Legia Warszawa;1927-05-08;16:00;1;6;0;0;
33;7;1927;Hasmonea Lwów;Polonia Warszawa;1927-05-08;16:30;2;2;0;0;
34;7;1927;Warszawianka Warszawa;ŁKS Łódź;1927-05-08;16:30;2;1;0;0;
35;7;1927;TKS Toruń;Ruch Chorzów;1927-05-08;16:25;0;4;0;0;
36;8;1927;Pogoń Lwów;Warszawianka Warszawa;1927-05-15;17:00;2;1;0;0;
37;8;1927;Ruch Chorzów;Hasmonea Lwów;1927-05-15;16:00;1;1;0;0;
38;8;1927;Czarni Lwów;1. FC Katowice;1927-05-15;15:00;0;1;0;0;
39;8;1927;Jutrzenka Kraków;Polonia Warszawa;1927-05-15;15:30;0;0;0;0;
40;8;1927;Legia Warszawa;Warta Poznań;1927-05-15;17:00;3;1;0;0;
41;8;1927;ŁKS Łódź;Wisła Kraków;1927-05-15;16:00;0;0;0;0;
42;8;1927;TKS Toruń;Klub Turystów Łódź;1927-05-15;16:00;2;1;0;0;
43;9;1927;Wisła Kraków;Warta Poznań;1927-05-22;17:00;4;1;0;0;
44;9;1927;1. FC Katowice;Warszawianka Warszawa;1927-05-22;16:00;3;2;0;0;
45;9;1927;Polonia Warszawa;Ruch Chorzów;1927-05-22;18:30;3;5;0;0;
46;9;1927;Klub Turystów Łódź;Czarni Lwów;1927-05-22;16:30;3;2;0;0;
